id,name,path_with_namespace,html_url,description,stars,forks,updated_at
4368483,chromium_third_party_ub_uiautomator,OpenHarmony-TPC / chromium_third_party_ub_uiautomator,https://gitcode.com/openharmony-tpc/chromium_third_party_ub_uiautomator,第三方软件ub-uiautomator,0,2,2025-02-17T14:36:04.021+08:00
4368475,chromium_buildtools_libunwind,OpenHarmony-TPC / chromium_buildtools_libunwind,https://gitcode.com/openharmony-tpc/chromium_buildtools_libunwind,Chromium 编译unwind库,0,1,2025-02-17T14:35:51.185+08:00
4368460,chromium_third_party_libvpx,OpenHarmony-TPC / chromium_third_party_libvpx,https://gitcode.com/openharmony-tpc/chromium_third_party_libvpx,libvpx包,0,11,2025-02-17T14:35:37.777+08:00
4368452,chromium_third_party_emoji_segmenter,OpenHarmony-TPC / chromium_third_party_emoji_segmenter,https://gitcode.com/openharmony-tpc/chromium_third_party_emoji_segmenter,第三方软件emoji-segmenter,0,4,2025-02-17T14:35:24.411+08:00
4368430,chromium_third_party_javalang,OpenHarmony-TPC / chromium_third_party_javalang,https://gitcode.com/openharmony-tpc/chromium_third_party_javalang,chromium java插件,0,5,2025-02-17T14:35:11.275+08:00
4368398,chromium_third_party_ukey2,OpenHarmony-TPC / chromium_third_party_ukey2,https://gitcode.com/openharmony-tpc/chromium_third_party_ukey2,第三方软件ukey2,0,4,2025-02-17T14:34:57.421+08:00
4368383,chromium_chrome_test_canvas_bench,OpenHarmony-TPC / chromium_chrome_test_canvas_bench,https://gitcode.com/openharmony-tpc/chromium_chrome_test_canvas_bench,Canvas是HTML5新增的组件，它就像一块幕布，可以用JavaScript在上面绘制各种图表、动画等。,0,4,2025-02-17T14:34:44.510+08:00
4368378,chromium_third_party_libwebm,OpenHarmony-TPC / chromium_third_party_libwebm,https://gitcode.com/openharmony-tpc/chromium_third_party_libwebm,第三方软件libwebm,0,4,2025-02-17T14:34:31.031+08:00
4368370,chromium_third_party_expat,OpenHarmony-TPC / chromium_third_party_expat,https://gitcode.com/openharmony-tpc/chromium_third_party_expat,第三方软件expat,0,8,2025-02-17T14:34:17.735+08:00
4368361,chromium_third_party_jsoncpp,OpenHarmony-TPC / chromium_third_party_jsoncpp,https://gitcode.com/openharmony-tpc/chromium_third_party_jsoncpp,jsoncpp库,0,4,2025-02-17T14:34:04.388+08:00
4368352,chromium_third_party_usrsctp,OpenHarmony-TPC / chromium_third_party_usrsctp,https://gitcode.com/openharmony-tpc/chromium_third_party_usrsctp,第三方软件usrsctp,0,2,2025-02-17T14:33:51.231+08:00
4368345,chromium_chrome_test_frame_rate,OpenHarmony-TPC / chromium_chrome_test_frame_rate,https://gitcode.com/openharmony-tpc/chromium_chrome_test_frame_rate,Chromium 浏览器实现测试frame 。,0,4,2025-02-17T14:33:37.472+08:00
4368340,chromium_third_party_libyuv,OpenHarmony-TPC / chromium_third_party_libyuv,https://gitcode.com/openharmony-tpc/chromium_third_party_libyuv,视频格式转换库,0,8,2025-02-17T14:33:24.721+08:00
4368333,chromium_third_party_farmhash,OpenHarmony-TPC / chromium_third_party_farmhash,https://gitcode.com/openharmony-tpc/chromium_third_party_farmhash,第三方软件farmhash,0,4,2025-02-17T14:33:11.816+08:00
4368324,chromium_third_party_junit,OpenHarmony-TPC / chromium_third_party_junit,https://gitcode.com/openharmony-tpc/chromium_third_party_junit,第三方软件junit,0,4,2025-02-17T14:32:58.713+08:00
4368315,chromium_third_party_vulkan_memory_allocator,OpenHarmony-TPC / chromium_third_party_vulkan_memory_allocator,https://gitcode.com/openharmony-tpc/chromium_third_party_vulkan_memory_allocator,第三方软件vulkan_memory_allocator,0,5,2025-02-17T14:32:45.619+08:00
4368311,chromium_chrome_test_xr,OpenHarmony-TPC / chromium_chrome_test_xr,https://gitcode.com/openharmony-tpc/chromium_chrome_test_xr,Chromium 浏览器实现测试XR。,0,4,2025-02-17T14:32:32.271+08:00
4368306,chromium_third_party_lss,OpenHarmony-TPC / chromium_third_party_lss,https://gitcode.com/openharmony-tpc/chromium_third_party_lss,第三方软件lss,0,4,2025-02-17T14:32:18.806+08:00
4368299,chromium_third_party_ffmpeg,OpenHarmony-TPC / chromium_third_party_ffmpeg,https://gitcode.com/openharmony-tpc/chromium_third_party_ffmpeg,多媒体框架,1,20,2025-02-11T14:48:22.858+08:00
4368289,chromium_third_party_leveldatabase,OpenHarmony-TPC / chromium_third_party_leveldatabase,https://gitcode.com/openharmony-tpc/chromium_third_party_leveldatabase,第三方软件leveldatabase,0,4,2025-02-17T14:31:50.780+08:00
4368283,chromium_third_party_wayland,OpenHarmony-TPC / chromium_third_party_wayland,https://gitcode.com/openharmony-tpc/chromium_third_party_wayland,设计替代X的显示服务器,0,10,2025-02-17T14:31:37.784+08:00
4368276,chromium_docs_website,OpenHarmony-TPC / chromium_docs_website,https://gitcode.com/openharmony-tpc/chromium_docs_website,Chromium 文档网站,0,3,2025-02-17T14:31:24.809+08:00
4368273,chromium_third_party_minigbm,OpenHarmony-TPC / chromium_third_party_minigbm,https://gitcode.com/openharmony-tpc/chromium_third_party_minigbm,第三方软件minigbm,0,4,2025-02-17T14:31:10.777+08:00
4368266,chromium_third_party_flac,OpenHarmony-TPC / chromium_third_party_flac,https://gitcode.com/openharmony-tpc/chromium_third_party_flac,第三方软件flac,0,4,2025-02-17T14:30:57.610+08:00
